authors,bestsellers-rank,categories,description,dimension-x,dimension-y,dimension-z,edition,edition-statement,for-ages,format,id,illustrations-note,image-checksum,image-path,image-url,imprint,index-date,isbn10,isbn13,lang,publication-date,publication-place,rating-avg,rating-count,title,url,weight
"[431, 432]",904408,"[783, 3328, 804, 3349, 823, 3368, 833, 3378]","Packed full of practical suggestions, tips, advice and up-to-date factual information, this book provides a trouble-shooting guide to help teaching assistants deal with a wide variety of classroom situations. Issues and dilemmas confronted in the book include:",138,216,8.64,,,,1,9.78042E+12,"4 Tables, black and white",4bf54f9cb880b6950e7e23c53feee686,full/0/b/1/0b1b0a73dcba24b085df6800b5158e092a7d8733.jpg,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9780/4153/9780415354721.jpg,ROUTLEDGE,,415354722,9.78042E+12,en,11/30/2005 0:00,,3.33,3,Practical Tips for Teaching Assistants,/Practical-Tips-for-Teaching-Assistants-Susan-Bentham/9780415354721,181
[540],901785,"[214, 783, 3328, 833, 3378]","Here one of our leading literary scholars looks back on her own life in the classroom, and discovers how much of what she learned there needs to be unlearned. Jane Tompkins' memoir shows how her education shaped her in the mould of a high achiever who could read five languages but had little knowledge of herself. As she slowly awakens to the needs of her body, heart, and spirit, she discards the conventions of classroom teaching and learns what her students' lives are like. A painful and exhilarating story of spiritual awakening, Tompkins' book critiques our educational system while also paying tribute to it.",137,217,15,,Reprint,,1,9.7802E+12,,22337dfc2ce9a12676ef763ffa224c51,full/9/f/3/9f308136adb84ddb9d085426997d21b2864e1a4c.jpg,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9780/2013/9780201327991.jpg,,,201327996,9.7802E+12,en,8/20/1997 0:00,,3.64,101,A Life In School : What The Teacher Learned,/Life-School-Jane-Tompkins/9780201327991,296
[542],324315,"[1531, 1532, 1540, 1562]","A dramatic new account of the parallel quests to harness time that culminated in the revolutionary science of relativity, Einstein's Clocks, Poincare's Maps is ""part history, part science, part adventure, part biography, part meditation on the meaning of modernity....In Galison's telling of science, the meters and wires and epoxy and solder come alive as characters, along with physicists, engineers, technicians and others....Galison has unearthed fascinating material"" (New York Times).",142,208,28,,Reprint,,1,9.78039E+12,40 b/w illustrations,557581ec68fa16db46146e8edf3a0d5a,full/1/6/5/165972e2763095ec2386b0890e4e3ad07f923690.jpg,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9780/3933/9780393326048.jpg,,,393326047,9.78039E+12,en,11/12/2004 0:00,,3.88,543,Einstein's Clocks and Poincare's Maps : Empires of Time,/Einsteins-Clocks-Poincares-Maps-Peter-Galison/9780393326048,364
"[543, 544]",914618,"[792, 3337, 830, 3375, 833, 3378]","This handbook for teachers complements The School Leader's Guide to Restorative School Discipline and shows teachers how to create a classroom of positive relationships, where every member of that classroom community feels a sense of belonging, is valued, and accepts responsibility for the well-being of others. The behavior expectations in this book apply to adults as well as students, and lead to positive learning outcomes. Included are interventions for challening behaviors as well as alternatives to traditional models of punishment, such as in-school suspension, restorative conferencing, and safe crisis intervention. This book is: Evidence-basedInclusivePracticalContextualCulturally responsiveUser-friendly",177,254,15.24,,,,1,9.78141E+12,,16107d7cdb07dc86e485ac6ff7703bde,full/2/f/3/2f317c2551344db3677852048541366c77120a48.jpg,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/4129/9781412998611.jpg,,,1412998611,9.78141E+12,en,7/26/2012 0:00,,3.5,2,The Teacher's Guide to Restorative Classroom Discipline,/Teachers-Guide-Restorative-Classroom-Discipline-Luanna-H-Meyer/9781412998611,420
"[545, 546]",817285,"[808, 3353, 810, 3355, 833, 3378, 839, 3384]",`What a gem. This book introduces a whole-school approach to an area that has previously been addressed by the speech and language specialists working with small groups.,170,242,6.35,,,,1,9.78141E+12,,47272b4458883e82bcd95e9e91248b3b,full/6/c/d/6cd515a46fe89aa817f6a8975f802e407e2eb66c.jpg,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/4129/9781412911573.jpg,,,1412911575,9.78141E+12,en,9/14/2005 0:00,,4,1,Learning to Listen to Learn : Using Multi-Sensory Teaching for Effective Listening,/Learning-Listen-Learn-Helen-White/9781412911573,200
[547],,"[2788, 2859, 2865, 2866]","Easy, Healthy & Fresh Vegan Slow Cooker Recipes for Beginners and Advanced Users on A Budget!",203,254,5,,,,1,9.78192E+12,,d2fa69e367334482b5ce37b62f3a807a,full/1/c/d/1cd4cd4d0f91f04bfdf6768e3ca905ba9ab1f06e.jpg,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/9225/9781922504302.jpg,,,1922504300,9.78192E+12,en,10/9/2019 0:00,,,,"The Essential Vegan Slow Cooker Cookbook : Easy, Healthy & Fresh Vegan Slow Cooker Recipes for Beginners and Advanced Users on A Budget",/Essential-Vegan-Slow-Cooker-Cookbook-Sharon-Roberts/9781922504302,191
[548],333768,[1520],"In this, his 45th book, Dr Karl goes full kolour, with brilliant and funny illustrations to match his dress sense. So take a technikolour trip through science with the intrepid Dr Karl, Australia's favourite science guru.",216,267,17,,,,1,9.78073E+12,,6a1c9bcea6ac633f973ca5934839c5d5,full/3/a/d/3ad7d73964121b3e0d5f25b29795bb3c4cb6cfc1.jpg,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9780/7333/9780733340321.jpg,,,733340326,9.78073E+12,,10/21/2019 0:00,,3.96,23,Dr Karl's Random Road Trip Through Science,/Dr-Karls-Random-Road-Trip-Through-Science-Karl-Kruszelnicki/9780733340321,710
[549],873784,"[833, 3378, 990, 996]","Smart trainers know that games and activities can involve adults in learning like no other instructional method and no one knows more about games than Sivasailam ""Thiagi"" Thiagarajan. In this must-have resource, Thiagi shows you how to customize more than thirty different kinds of games - games that fit the circumstances perfectly and that can be designed in mere minutes.",216,278,23,,,,1,9.78079E+12,,2064e66575d7dbf2b79ac383e1d18f82,full/9/e/9/9e90ae1eb62bd74c05daafad562317d92952419c.jpg,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/7879/9780787964658.jpg,"Jossey-Bass Inc.,U.S.",,787964654,9.78079E+12,en,3/11/2003 0:00,,4.36,11,Design Your Own Games and Activities : Thiagi's Templates for Performance Improvement,/Design-Your-Own-Games-Activities-Sivasailam-Thiagarajan/9780787964658,1054
[550],883020,"[312, 314, 833, 3378]","LESSONS WITH LAUGHTER is part of Heinle's Instant Lessons series - a range of photocopiable books for busy teachers that are quick and easy to use.  It is a bank of 92 lessons which can be used with the minimum of preparation and which focus on four areas: Jokes, Cartoons, Misprints, and Funny Stories.",218,298,8,,,,1,9.7819E+12,,d4dafade2c2bcf77cc7407b509f43235,full/a/5/4/a541e731554cc78b60877b0ba3c2c0d267641c8f.jpg,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/8993/9781899396351.jpg,Cengage ELT,,1899396357,9.7819E+12,en,1/1/1996 0:00,,3.43,7,Lessons with Laughter : Photocopiable Lessons for Different Levels,/Lessons-with-Laughter-George-Woolard/9781899396351,374
[551],,[2865],"The Canadian Living Test Kitchen delivers an all-new recipes to the Complete Vegetarian Cookbook. A follow-up to Canadian Living's best-selling Vegetarian Collection, which went to a second edition, Canada's most authoritative test kitchen brings 195 pages of Tested-Till-Perfect recipes. Families coast to coast come to Canadian Living for fresh ideas and reliable results, and this book offers solutions for satisfying meatless meals, irresistible sides that bring healthy eating to the table, and even showstopper desserts for special occasions.",203,251,20,,,,1,9.78199E+12,,7c28c3d9aa8c349c557ffa246175cc2b,full/2/0/9/209b8ed92cb1242c33d82b716ee71a4e2a8b6228.jpg,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/9880/9781988002750.jpg,,,1988002753,9.78199E+12,en,10/10/2017 0:00,,4.23,13,Canadian Living: Complete Vegetarian,/Canadian-Living-Complete-Vegetarian-Canadian-Living-Test-Kitchen/9781988002750,953
[552],48747,"[1520, 1532, 1573, 1578]","Which is the densest element? Which has the largest atoms? And why are some elements radioactive?  From the little-known uses of gold in medicine to the development of the hydrogen bomb, this is a fresh new look at the Periodic Table.",166,216,12.7,,Reprint,,1,9.78178E+12,color illustrations,08b30a1ccca87b04bc2c4de0830c211e,full/9/5/8/9581d5a303ee8e8aca4742f4ece8020b4e6014c9.jpg,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/7813/9781781319307.jpg,,,1781319308,9.78178E+12,en,2/4/2020 0:00,,4.21,28,The Periodic Table : A visual guide to the elements,/Periodic-Table-Tom-Jackson/9781781319307,498.95
